Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
68, b-SLICE,   66, 34.00,       1808, 0,4.96,40.856, 49.230, 49.366, 42.967, 0.950037, 13.014,32, 64 61 ,67 69 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.20%, 0.00%,  0.00%,  0.00%, 0.00%,  0.20%,  0.39%,  3.14%,  1.96%,  0.00%,  0.00%,  0.98%,  0.78%, 87.25%,  0.98%,  1.37%,  2.75%, 21886.30, 1565.54, 5701.20, 22124.40 , 18, 253, 117.60, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 99.78%,0.00%, 0.00%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.43%,0.00%, 14.29%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 3.45%, 41.38%,0.00%, 41.38%, 13.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.29%,0.00%, 28.57%, 7.14%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 46.0, 16.0, 35.0, 5.0, 384.0, 3.104, 8
69, b-SLICE,   68, 34.00,       1264, 0,5.16,40.887, 49.227, 49.393, 42.992, 0.950112, 13.020,31, 67 64 61 ,69 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.41%,  1.65%,  1.03%,  0.00%,  0.21%,  0.41%,  0.00%, 91.98%,  0.62%,  2.26%,  1.44%, 21724.35, 1561.41, 5717.88, 21814.90 , 18, 253, 117.60, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 61.90%,0.00%, 23.81%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.33%,0.00%, 16.67%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 43.0, 10.0, 35.0, 4.0, 343.0, 3.187, 6
70, P-SLICE,   70, 32.00,       1064, 0,39.56,40.907, 49.239, 49.392, 43.009, 0.950130, 13.022,30, 69 67 64 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.84%,  0.21%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 93.67%,  3.80%,  1.48%,  0.00%, 21625.46, 1561.70, 5704.90, 21655.87 , 18, 253, 117.60, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 100.23%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 81.82%,0.00%, 0.00%, 18.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.50%,0.00%, 0.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 15.0, 0.0, 22.0, 0.0, 27.0, 0.0, 338.0, 6.420, 45
71, P-SLICE,   75, 32.00,       6800, 0,5.14,40.874, 49.249, 49.345, 42.980, 0.949897, 13.001,26, 70 69 67 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.15%, 0.15%,  0.00%,  1.84%, 0.00%,  1.38%,  1.23%,  2.15%, 16.28%,  0.00%,  0.00%,  0.61%,  2.76%, 66.05%,  2.92%,  1.54%,  2.92%, 21850.54, 1566.44, 5722.39, 24643.03 , 18, 253, 117.59, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 97.95%,0.00%, 0.23%, 1.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 70.37%,0.00%, 7.41%, 22.22%, 0.00%, 0.00%, 0.00%, 0.00%, 3.45%, 48.28%,0.00%, 20.69%, 27.59%, 0.00%, 0.00%, 0.00%, 0.00%, 8.33%, 23.72%,0.00%, 33.97%, 33.97%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11.0, 0.0, 16.0, 0.0, 36.0, 0.0, 278.0, 4.600, 53
72, B-SLICE,   73, 33.00,       3456, 0,5.16,40.851, 49.254, 49.362, 42.965, 0.949899, 13.002,29, 70 69 67 ,75 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.18%,  0.00%,  0.35%, 0.00%,  0.35%,  0.53%,  2.63%,  8.42%,  0.00%,  0.35%,  1.05%,  0.70%, 77.19%,  2.63%,  1.23%,  4.39%, 21935.02, 1562.13, 5709.40, 22702.03 , 18, 253, 117.60, 76, 150, 130.99, 89, 179, 129.22, 0.00%, 99.55%,0.00%, 0.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.00%,0.00%, 10.00%, 5.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.43%,0.00%, 46.43%, 7.14%, 0.00%, 0.00%, 0.00%, 0.00%, 3.75%, 36.25%,0.00%, 36.25%, 23.75%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 4.0, 30.0, 9.0, 53.0, 0.0, 319.0, 3.031, 45
73, b-SLICE,   71, 34.00,       2264, 0,4.94,40.854, 49.256, 49.393, 42.971, 0.950029, 13.013,32, 70 67 ,73 75 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%, 0.00%,  0.57%,  0.19%,  2.49%,  3.64%,  0.00%,  0.00%,  1.34%,  4.41%, 85.06%,  0.38%,  0.77%,  0.96%, 21911.59, 1556.18, 5713.59, 22339.89 , 18, 253, 117.59, 76, 150, 130.99, 89, 179, 129.21, 0.00%, 99.33%,0.00%, 0.45%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.83%,0.00%, 37.50%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 2.08%, 58.33%,0.00%, 27.08%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 11.0, 26.0, 18.0, 31.0, 5.0, 371.0, 2.376, 9
74, b-SLICE,   72, 34.00,       1984, 0,4.92,40.815, 49.244, 49.378, 42.939, 0.949797, 12.993,32, 70 67 ,73 75 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.38%,  0.19%,  2.07%,  3.58%,  0.00%,  0.00%,  0.56%,  3.77%, 83.62%,  0.94%,  2.45%,  2.45%, 22104.96, 1560.87, 5735.33, 22456.31 , 18, 253, 117.59, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 99.55%,0.00%, 0.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 59.26%,0.00%, 33.33%, 7.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.46%,0.00%, 23.08%, 13.46%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 7.0, 41.0, 18.0, 35.0, 4.0, 376.0, 2.080, 3
75, b-SLICE,   74, 34.00,       1360, 0,5.19,40.840, 49.264, 49.377, 42.960, 0.949799, 12.993,31, 73 70 67 ,75 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.64%,  1.70%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 94.90%,  1.06%,  1.70%,  0.00%, 21969.11, 1557.38, 5746.44, 22126.53 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.50%,0.00%, 37.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 25.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 43.0, 18.0, 29.0, 5.0, 332.0, 1.973, 0
76, P-SLICE,   76, 32.00,        880, 0,39.62,40.879, 49.249, 49.345, 42.983, 0.949922, 13.004,30, 75 73 70 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.42%,  0.42%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 93.29%,  2.94%,  2.94%,  0.00%, 21764.70, 1565.91, 5729.81, 21776.07 , 18, 253, 117.59, 76, 150, 130.99, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.50%,0.00%, 0.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.50%,0.00%, 0.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 8.0, 0.0, 21.0, 0.0, 31.0, 0.0, 326.0, 6.293, 38
77, P-SLICE,   81, 32.00,       6712, 0,5.12,40.862, 49.255, 49.365, 42.974, 0.949821, 12.995,26, 76 75 73 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.60%,  0.60%,  3.62%, 0.00%,  0.60%,  0.60%,  2.41%, 14.48%,  0.00%,  0.30%,  0.30%,  0.75%, 65.76%,  2.26%,  2.41%,  5.28%, 21899.84, 1563.80, 5728.66, 24156.48 , 18, 253, 117.58, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.09%,0.00%, 0.00%, 0.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.95%,0.00%, 0.00%, 19.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 52.94%,0.00%, 26.47%, 20.59%, 0.00%, 0.00%, 0.00%, 0.00%, 19.05%, 23.81%,0.00%, 29.17%, 27.98%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11.0, 0.0, 26.0, 0.0, 47.0, 0.0, 286.0, 4.427, 15
78, B-SLICE,   79, 33.00,       3768, 0,5.14,40.835, 49.223, 49.380, 42.951, 0.949813, 12.994,29, 76 75 73 ,81 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.54%,  3.60%,  7.75%,  0.00%,  0.36%,  0.90%,  0.72%, 79.64%,  2.52%,  2.34%,  1.62%, 22023.89, 1564.31, 5735.52, 23033.52 , 18, 253, 117.59, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 84.21%,0.00%, 15.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.37%,0.00%, 39.47%, 13.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.21%,0.00%, 46.43%, 30.36%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 5.0, 30.0, 18.0, 35.0, 8.0, 318.0, 2.462, 68
79, b-SLICE,   77, 34.00,       1928, 0,4.97,40.822, 49.250, 49.366, 42.944, 0.949739, 12.988,32, 76 73 ,79 81 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.37%,  2.81%,  3.00%,  0.00%,  0.37%,  0.37%,  0.37%, 83.15%,  1.69%,  3.00%,  4.87%, 22071.62, 1561.92, 5742.65, 22356.80 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 84.62%,0.00%, 7.69%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.55%,0.00%, 39.39%, 6.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.64%,0.00%, 22.73%, 13.64%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 16.0, 23.0, 15.0, 33.0, 2.0, 359.0, 2.787, 6
80, b-SLICE,   78, 34.00,       2432, 0,4.87,40.806, 49.232, 49.377, 42.931, 0.949726, 12.987,32, 76 73 ,79 81 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.37%,  2.58%,  5.89%,  0.00%,  0.37%,  0.37%,  0.00%, 81.77%,  1.84%,  1.66%,  5.16%, 22157.27, 1563.22, 5747.78, 22582.06 , 18, 253, 117.60, 76, 150, 130.99, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.71%,0.00%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 44.00%,0.00%, 32.00%, 24.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.67%,0.00%, 31.67%, 21.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 13.0, 33.0, 15.0, 34.0, 2.0, 357.0, 2.167, 7
81, b-SLICE,   80, 34.00,       1752, 0,5.14,40.831, 49.243, 49.386, 42.951, 0.949768, 12.990,31, 79 76 73 ,81 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.79%,  0.99%,  1.79%,  0.00%,  0.40%,  0.40%,  0.00%, 88.10%,  2.18%,  3.17%,  2.18%, 22023.48, 1559.70, 5745.63, 22307.06 , 18, 253, 117.59, 76, 150, 130.99, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.47%,0.00%, 23.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.26%,0.00%, 8.70%, 13.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.00%,0.00%, 20.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 32.0, 11.0, 30.0, 2.0, 325.0, 2.778, 12
82, P-SLICE,   82, 32.00,       1056, 0,39.68,40.871, 49.254, 49.365, 42.981, 0.949842, 12.997,30, 81 79 76 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.42%,  0.42%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 93.88%,  3.16%,  2.11%,  0.00%, 21805.67, 1561.34, 5741.18, 21838.04 , 18, 253, 117.58, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.24%,0.00%, 0.00%, 11.76%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 0.00%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 26.0, 0.0, 31.0, 0.0, 322.0, 5.207, 58
83, P-SLICE,   87, 32.00,       7016, 0,5.15,40.831, 49.248, 49.340, 42.947, 0.949512, 12.968,26, 82 81 79 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.46%, 0.00%,  0.00%,  0.31%, 0.61%,  0.15%,  2.30%, 0.00%,  0.92%,  1.38%,  1.54%, 13.82%,  0.00%,  0.46%,  0.00%,  1.23%, 66.05%,  3.84%,  2.30%,  4.61%, 22080.62, 1567.92, 5749.33, 24687.48 , 18, 253, 117.57, 76, 150, 130.99, 89, 179, 129.22, 0.00%, 98.85%,0.00%, 0.00%, 1.38%, 0.00%, 0.00%, 0.00%, 0.00%, 7.50%, 70.00%,0.00%, 10.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 7.41%, 55.56%,0.00%, 18.52%, 18.52%, 0.00%, 0.00%, 0.00%, 0.00%, 13.51%, 25.68%,0.00%, 37.84%, 22.97%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 10.0, 0.0, 15.0, 0.0, 36.0, 0.0, 262.0, 4.629, 56
84, B-SLICE,   85, 33.00,       3400, 0,5.14,40.820, 49.249, 49.375, 42.943, 0.949612, 12.977,29, 82 81 79 ,87 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.18%,  0.00%,  0.18%, 0.18%,  0.00%,  0.35%, 0.00%,  0.35%,  0.71%,  2.48%, 10.46%,  0.00%,  0.18%,  0.18%,  0.71%, 78.19%,  2.30%,  0.35%,  3.19%, 22098.77, 1560.79, 5742.55, 22839.11 , 18, 253, 117.58, 76, 150, 130.99, 89, 179, 129.22, 0.00%, 99.55%,0.00%, 0.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 77.78%,0.00%, 16.67%, 5.56%, 0.00%, 0.00%, 0.00%, 0.00%, 10.53%, 15.79%,0.00%, 42.11%, 31.58%, 0.00%, 0.00%, 0.00%, 0.00%, 3.57%, 26.19%,0.00%, 35.71%, 34.52%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 21.0, 9.0, 38.0, 1.0, 291.0, 2.604, 8
85, b-SLICE,   83, 34.00,       1728, 0,4.96,40.791, 49.269, 49.369, 42.923, 0.949472, 12.965,32, 82 79 ,85 87 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.56%,  1.51%,  3.39%,  0.00%,  0.56%,  1.13%,  1.88%, 83.62%,  1.69%,  1.88%,  3.77%, 22216.47, 1557.89, 5784.72, 22449.50 , 18, 253, 117.58, 76, 150, 130.99, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.00%,0.00%, 13.33%, 6.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 25.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.50%,0.00%, 22.92%, 14.58%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 5.0, 31.0, 13.0, 39.0, 2.0, 351.0, 2.153, 7
86, b-SLICE,   84, 34.00,       2000, 0,4.91,40.791, 49.258, 49.386, 42.924, 0.949601, 12.976,32, 82 79 ,85 87 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%, 0.00%,  0.00%,  0.56%,  1.88%,  4.14%,  0.00%,  0.00%,  0.00%,  0.00%, 83.43%,  3.01%,  2.82%,  3.95%, 22237.16, 1556.92, 5751.20, 22449.18 , 18, 253, 117.59, 76, 150, 130.99, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 84.21%,0.00%, 10.53%, 5.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 60.00%,0.00%, 36.00%, 4.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.27%, 47.73%,0.00%, 38.64%, 11.36%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 1.0, 45.0, 13.0, 43.0, 0.0, 361.0, 3.027, 23
87, b-SLICE,   86, 34.00,       1864, 0,5.12,40.800, 49.278, 49.361, 42.930, 0.949480, 12.965,31, 85 82 79 ,87 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.97%,  2.53%,  2.73%,  0.00%,  0.97%,  0.39%,  0.00%, 86.35%,  1.95%,  2.14%,  1.95%, 22182.35, 1557.68, 5772.49, 22390.50 , 18, 253, 117.57, 76, 150, 130.99, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 20.00%, 5.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 34.62%, 15.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.67%,0.00%, 41.67%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 46.0, 11.0, 30.0, 1.0, 317.0, 2.887, 8
88, P-SLICE,   88, 32.00,       1152, 0,39.69,40.843, 49.248, 49.345, 42.957, 0.949553, 12.972,30, 87 85 82 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.63%,  0.42%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 93.29%,  2.73%,  2.94%,  0.00%, 21952.21, 1565.93, 5760.99, 21994.06 , 18, 253, 117.57, 76, 150, 130.99, 89, 179, 129.22, 0.00%, 100.23%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 81.25%,0.00%, 0.00%, 18.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.50%,0.00%, 0.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 17.0, 0.0, 22.0, 0.0, 27.0, 0.0, 313.0, 6.600, 62
89, P-SLICE,   93, 32.00,       7032, 0,5.13,40.854, 49.225, 49.356, 42.963, 0.950013, 13.011,26, 88 87 85 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.16%, 0.16%,  0.00%,  1.71%, 0.00%,  1.86%,  1.09%,  3.57%, 15.19%,  0.00%,  0.00%,  0.00%,  0.93%, 66.20%,  2.95%,  1.86%,  4.34%, 21958.28, 1573.13, 5695.37, 24827.12 , 18, 253, 117.60, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 97.48%,0.00%, 0.00%, 2.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 73.08%,0.00%, 0.00%, 26.92%, 0.00%, 0.00%, 0.00%, 0.00%, 2.78%, 33.33%,0.00%, 36.11%, 27.78%, 0.00%, 0.00%, 0.00%, 0.00%, 8.33%, 23.61%,0.00%, 39.58%, 28.47%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11.0, 0.0, 18.0, 0.0, 38.0, 0.0, 248.0, 4.942, 44
90, B-SLICE,   91, 33.00,       3744, 0,5.02,40.881, 49.228, 49.356, 42.984, 0.950675, 13.069,29, 88 87 85 ,93 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%,  1.18%, 0.00%,  0.34%,  0.34%,  2.20%,  9.48%,  0.00%,  0.34%,  1.18%,  3.05%, 74.79%,  1.02%,  1.52%,  4.40%, 21787.13, 1568.16, 5621.18, 22623.46 , 18, 253, 117.62, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 99.55%,0.00%, 0.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.00%,0.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.17%,0.00%, 31.03%, 13.79%, 0.00%, 0.00%, 0.00%, 0.00%, 7.41%, 40.74%,0.00%, 34.26%, 17.59%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 1.0, 25.0, 14.0, 34.0, 2.0, 278.0, 2.924, 15
91, b-SLICE,   89, 34.00,       2120, 0,4.96,40.783, 49.237, 49.343, 42.910, 0.949389, 12.958,32, 88 85 ,91 93 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%, 0.00%,  0.00%,  0.75%,  2.81%,  4.31%,  0.00%,  0.56%,  0.75%,  0.19%, 82.96%,  2.06%,  1.87%,  3.56%, 22267.20, 1568.42, 5777.35, 22519.45 , 19, 253, 117.58, 76, 150, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 77.78%,0.00%, 22.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 48.28%,0.00%, 41.38%, 10.34%, 0.00%, 0.00%, 0.00%, 0.00%, 2.27%, 45.45%,0.00%, 43.18%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 32.0, 18.0, 33.0, 6.0, 343.0, 2.713, 75
